column,missing_count,missing_ratio
Temp_180m_C,842160,1.0
Temp_120m_C,842160,1.0
Inversion_Strength_C,842160,1.0
Wind_Speed_120m_kmh,842160,1.0
Temp_80m_C,842160,1.0
Wind_Speed_80m_kmh,842160,1.0
UV_Index,842160,1.0
NH3_ugm3,842160,1.0
pm25_lag_168,4872,0.005785123966942148
AQI_Category,2516,0.0029875558088724233
pm25_lag_24,696,0.0008264462809917355
pm25_deviation,667,0.0007920110192837466
pm25_roll_std_24,667,0.0007920110192837466
pm25_roll_24,667,0.0007920110192837466
US_AQI,145,0.0001721763085399449
EU_AQI,145,0.0001721763085399449
US_AQI_PM10,145,0.0001721763085399449
EU_AQI_PM10,145,0.0001721763085399449
EU_AQI_PM25,145,0.0001721763085399449
US_AQI_PM25,145,0.0001721763085399449
US_AQI_O3,73,8.668186567873088e-05
pm25_lag_1,29,3.443526170798898e-05
PM25_Category_India,2,2.3748456350337227e-06
US_AQI_NO2,2,2.3748456350337227e-06
City,0,0.0
Dust_ugm3,0,0.0
O3_ugm3,0,0.0
SO2_ugm3,0,0.0
NO2_ugm3,0,0.0
CO_ugm3,0,0.0
AOD,0,0.0
Temp_Inversion,0,0.0
US_AQI_CO,0,0.0
PM10_ugm3,0,0.0
Festival_Period,0,0.0
Crop_Burning_Season,0,0.0
year,0,0.0
month,0,0.0
hour,0,0.0
day_of_week,0,0.0
pm25_category,0,0.0
is_severe,0,0.0
low_wind,0,0.0
high_humidity,0,0.0
is_festival,0,0.0
PM_Ratio,0,0.0
Cloud_High_Percent,0,0.0
PM2_5_ugm3,0,0.0
Sunshine_Seconds,0,0.0
Dew_Point_C,0,0.0
Humidity_Percent,0,0.0
Temp_2m_C,0,0.0
Time_of_Day,0,0.0
Season,0,0.0
Quarter,0,0.0
Is_Weekend,0,0.0
Week_of_Year,0,0.0
Day_Name,0,0.0
Day_of_Week,0,0.0
Hour,0,0.0
Day,0,0.0
Month,0,0.0
Year,0,0.0
Datetime,0,0.0
Longitude,0,0.0
Latitude,0,0.0
Humidity_Category,0,0.0
Wind_Speed_10m_kmh,0,0.0
Wind_Dir_10m,0,0.0
Solar_Radiation_Wm2,0,0.0
Is_Daytime,0,0.0
State,0,0.0
Cloud_Mid_Percent,0,0.0
Cloud_Low_Percent,0,0.0
Cloud_Cover_Percent,0,0.0
Diffuse_Radiation_Wm2,0,0.0
Direct_Radiation_Wm2,0,0.0
Surface_Pressure_hPa,0,0.0
Wind_Gusts_kmh,0,0.0
Pressure_MSL_hPa,0,0.0
Heavy_Rain,0,0.0
Is_Raining,0,0.0
Rain_mm,0,0.0
Precipitation_mm,0,0.0
Wind_Stagnation,0,0.0
Wind_Category,0,0.0
is_crop_burning,0,0.0
